HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
*Based on a 50% reduction in occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abilene, TX",980.00,127.00,565.00,772.00,68.00,98.00,226444.00,50412.00,45289.00,9563.00,2090.00,638.00,1.13,0.83,0.65,319.00,0.56,0.41,0.33,208.00,0.37,0.27,0.21,139.00,2.04,1.42,1.09,70.00,1.03,0.71,0.55,45.00,0.66,0.46,0.35
"Akron, OH",1358.00,186.00,518.00,938.00,94.00,140.00,547990.00,111042.00,109598.00,22933.00,4959.00,1529.00,2.95,1.63,1.13,764.00,1.47,0.81,0.56,499.00,0.96,0.53,0.37,331.00,3.52,2.36,1.78,165.00,1.76,1.18,0.89,108.00,1.15,0.77,0.58
"Alameda County, CA",2695.00,293.00,665.00,1680.00,139.00,216.00,1310189.00,214991.00,262038.00,53872.00,11400.00,3591.00,5.40,2.14,1.33,1796.00,2.70,1.07,0.67,1171.00,1.76,0.70,0.43,760.00,5.47,3.52,2.59,380.00,2.73,1.76,1.30,248.00,1.78,1.15,0.85
"Albany, GA",704.00,60.00,221.00,462.00,27.00,43.00,157143.00,30466.00,31429.00,6550.00,1410.00,437.00,1.98,0.95,0.62,218.00,0.99,0.47,0.31,142.00,0.64,0.31,0.20,94.00,3.48,2.19,1.57,47.00,1.74,1.09,0.78,31.00,1.15,0.72,0.52
"Albany, NY",4804.00,425.00,1579.00,3191.00,193.00,309.00,1477723.00,318695.00,295545.00,62209.00,13545.00,4147.00,2.63,1.30,0.86,2074.00,1.31,0.65,0.43,1352.00,0.86,0.42,0.28,903.00,4.68,2.92,2.12,452.00,2.34,1.46,1.06,294.00,1.52,0.95,0.69
"Albuquerque, NM",2908.00,380.00,1102.00,2005.00,161.00,270.00,1336795.00,279457.00,267359.00,56108.00,12174.00,3741.00,3.39,1.87,1.29,1870.00,1.70,0.93,0.64,1220.00,1.11,0.61,0.42,812.00,5.04,3.01,2.14,406.00,2.52,1.50,1.07,265.00,1.65,0.98,0.70
"Alexandria, LA",917.00,43.00,402.00,660.00,20.00,31.00,221597.00,44519.00,44319.00,9266.00,2002.00,618.00,1.54,0.94,0.67,309.00,0.77,0.47,0.34,201.00,0.50,0.30,0.22,133.00,6.65,4.29,3.09,67.00,3.35,2.16,1.56,44.00,2.20,1.42,1.02
"Allentown, PA",3267.00,334.00,1267.00,2267.00,143.00,238.00,960572.00,207376.00,192114.00,40442.00,8807.00,2696.00,2.13,1.19,0.83,1348.00,1.06,0.59,0.41,879.00,0.69,0.39,0.27,587.00,4.10,2.47,1.76,294.00,2.06,1.24,0.88,191.00,1.34,0.80,0.57
"Altoona, PA",555.00,61.00,234.00,394.00,27.00,44.00,234560.00,56483.00,46912.00,9986.00,2203.00,666.00,2.85,1.69,1.20,333.00,1.42,0.85,0.60,217.00,0.93,0.55,0.39,147.00,5.44,3.34,2.41,73.00,2.70,1.66,1.20,48.00,1.78,1.09,0.79
