HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Abilene, TX",980.00,127.00,565.00,772.00,68.00,98.00,226444.00,50412.00,135866.00,28688.00,6270.00,1913.00,3.39,2.48,1.95,956.00,1.69,1.24,0.98,624.00,1.10,0.81,0.64,418.00,6.15,4.27,3.29,209.00,3.07,2.13,1.65,136.00,2.00,1.39,1.07
"Akron, OH",1358.00,186.00,518.00,938.00,94.00,140.00,547990.00,111042.00,328794.00,68800.00,14876.00,4587.00,8.86,4.89,3.38,2293.00,4.43,2.44,1.69,1496.00,2.89,1.59,1.10,992.00,10.55,7.09,5.33,496.00,5.28,3.54,2.67,323.00,3.44,2.31,1.74
"Alameda County, CA",2695.00,293.00,665.00,1680.00,139.00,216.00,1310189.00,214991.00,786113.00,161616.00,34200.00,10774.00,16.20,6.41,4.00,5387.00,8.10,3.21,2.00,3513.00,5.28,2.09,1.30,2280.00,16.40,10.56,7.78,1140.00,8.20,5.28,3.89,743.00,5.35,3.44,2.54
"Albany, GA",704.00,60.00,221.00,462.00,27.00,43.00,157143.00,30466.00,94286.00,19651.00,4229.00,1310.00,5.93,2.84,1.86,655.00,2.96,1.42,0.93,427.00,1.93,0.92,0.61,282.00,10.44,6.56,4.70,141.00,5.22,3.28,2.35,92.00,3.41,2.14,1.53
"Albany, NY",4804.00,425.00,1579.00,3191.00,193.00,309.00,1477723.00,318695.00,886634.00,186626.00,40636.00,12442.00,7.88,3.90,2.59,6221.00,3.94,1.95,1.29,4057.00,2.57,1.27,0.84,2709.00,14.04,8.77,6.37,1355.00,7.02,4.39,3.19,883.00,4.58,2.86,2.08
"Albuquerque, NM",2908.00,380.00,1102.00,2005.00,161.00,270.00,1336795.00,279457.00,802077.00,168324.00,36521.00,11222.00,10.18,5.60,3.86,5611.00,5.09,2.80,1.93,3659.00,3.32,1.82,1.26,2435.00,15.12,9.02,6.41,1217.00,7.56,4.51,3.20,794.00,4.93,2.94,2.09
"Alexandria, LA",917.00,43.00,402.00,660.00,20.00,31.00,221597.00,44519.00,132958.00,27800.00,6005.00,1853.00,4.61,2.81,2.02,927.00,2.31,1.40,1.01,604.00,1.50,0.92,0.66,400.00,20.00,12.90,9.30,200.00,10.00,6.45,4.65,131.00,6.55,4.23,3.05
"Allentown, PA",3267.00,334.00,1267.00,2267.00,143.00,238.00,960572.00,207376.00,576343.00,121326.00,26421.00,8088.00,6.38,3.57,2.48,4044.00,3.19,1.78,1.24,2638.00,2.08,1.16,0.81,1761.00,12.31,7.40,5.27,881.00,6.16,3.70,2.64,574.00,4.01,2.41,1.72
"Altoona, PA",555.00,61.00,234.00,394.00,27.00,44.00,234560.00,56483.00,140736.00,29959.00,6610.00,1997.00,8.53,5.07,3.60,999.00,4.27,2.54,1.80,651.00,2.78,1.65,1.17,441.00,16.33,10.02,7.23,220.00,8.15,5.00,3.61,144.00,5.33,3.27,2.36
"Amarillo, TX",1236.00,194.00,678.00,957.00,79.00,137.00,332671.00,61267.00,199603.00,41417.00,8864.00,2761.00,4.07,2.89,2.23,1381.00,2.04,1.44,1.12,900.00,1.33,0.94,0.73,591.00,7.48,4.31,3.05,295.00,3.73,2.15,1.52,193.00,2.44,1.41,0.99
